target,target_value,found_value,delta,path,context
m0_cost_claim_rounded,1.7204,1.72035652,-4.347999999998464e-05,/mnt/d/omnigent-blackbox-OLD-RAW-IMPERATIVE-20260912T062257Z/bundle/RECOVERY_SUMMARIES/deepwater60-finished-available-m1-vs-m0-20260901T164323.json,"d_usd"": 0.08192173904761904,       ""median_correctness"": 0.75,       ""timeouts"": 3,       ""total_cost_upper_bound_usd"": 1.72035652,       ""workspace_results"": 13     },     ""M1"": {       ""boundary_failures"": 5,       ""exact_passes"": 1,       ""experim"
m1_cost_claim_rounded,1.6268,1.62682066,2.065999999989465e-05,/mnt/d/omnigent-blackbox-OLD-RAW-IMPERATIVE-20260912T062257Z/bundle/RECOVERY_SUMMARIES/deepwater60-finished-available-m1-vs-m0-20260901T164323.json,"_usd"": 0.07746765047619047,       ""median_correctness"": 0.875,       ""timeouts"": 1,       ""total_cost_upper_bound_usd"": 1.62682066,       ""workspace_results"": 17     }   },   ""paired_finished_rows"": [     {       ""delta_m1_minus_m0"": 0.0,       ""m0_c"
m0_cost_claim_rounded,1.7204,1.72035652,-4.347999999998464e-05,/mnt/d/omnigent-blackbox-OLD-RAW-IMPERATIVE-20260912T062257Z/bundle/RECOVERY_SUMMARIES/deepwater60-m1-vs-m0-deep-analysis-20260902T045252.json,"sult_rate"": 0.6190476190476191,       ""results"": 13,       ""schema_valid"": 13,       ""timeouts"": 3,       ""total_cost"": 1.72035652,       ""total_elapsed_seconds"": 0     },     ""M1"": {       ""arms"": 21,       ""boundary_failures"": 5,       ""boundary_pa"
m1_cost_claim_rounded,1.6268,1.62682066,2.065999999989465e-05,/mnt/d/omnigent-blackbox-OLD-RAW-IMPERATIVE-20260912T062257Z/bundle/RECOVERY_SUMMARIES/deepwater60-m1-vs-m0-deep-analysis-20260902T045252.json,"sult_rate"": 0.8095238095238095,       ""results"": 17,       ""schema_valid"": 17,       ""timeouts"": 1,       ""total_cost"": 1.62682066,       ""total_elapsed_seconds"": 0     }   },   ""paired_rows"": [     {       ""cost_delta_m1_minus_m0"": -0.01631815000000"
m0_cost_claim_rounded,1.7204,1.72035652,-4.347999999998464e-05,/mnt/d/omnigent-blackbox-REPORT-IMPERATIVE-supplement-20260912T061643Z/bundle/REPORT_SUMMARY_FILES/deepwater60-finished-available-m1-vs-m0-20260901T164323.json,"d_usd"": 0.08192173904761904,       ""median_correctness"": 0.75,       ""timeouts"": 3,       ""total_cost_upper_bound_usd"": 1.72035652,       ""workspace_results"": 13     },     ""M1"": {       ""boundary_failures"": 5,       ""exact_passes"": 1,       ""experim"
m1_cost_claim_rounded,1.6268,1.62682066,2.065999999989465e-05,/mnt/d/omnigent-blackbox-REPORT-IMPERATIVE-supplement-20260912T061643Z/bundle/REPORT_SUMMARY_FILES/deepwater60-finished-available-m1-vs-m0-20260901T164323.json,"_usd"": 0.07746765047619047,       ""median_correctness"": 0.875,       ""timeouts"": 1,       ""total_cost_upper_bound_usd"": 1.62682066,       ""workspace_results"": 17     }   },   ""paired_finished_rows"": [     {       ""delta_m1_minus_m0"": 0.0,       ""m0_c"
m0_cost_claim_rounded,1.7204,1.72035652,-4.347999999998464e-05,/mnt/d/omnigent-blackbox-REPORT-IMPERATIVE-supplement-20260912T061643Z/bundle/REPORT_SUMMARY_FILES/deepwater60-m1-vs-m0-deep-analysis-20260902T045252.json,"sult_rate"": 0.6190476190476191,       ""results"": 13,       ""schema_valid"": 13,       ""timeouts"": 3,       ""total_cost"": 1.72035652,       ""total_elapsed_seconds"": 0     },     ""M1"": {       ""arms"": 21,       ""boundary_failures"": 5,       ""boundary_pa"
m1_cost_claim_rounded,1.6268,1.62682066,2.065999999989465e-05,/mnt/d/omnigent-blackbox-REPORT-IMPERATIVE-supplement-20260912T061643Z/bundle/REPORT_SUMMARY_FILES/deepwater60-m1-vs-m0-deep-analysis-20260902T045252.json,"sult_rate"": 0.8095238095238095,       ""results"": 17,       ""schema_valid"": 17,       ""timeouts"": 1,       ""total_cost"": 1.62682066,       ""total_elapsed_seconds"": 0     }   },   ""paired_rows"": [     {       ""cost_delta_m1_minus_m0"": -0.01631815000000"
m0_cost_claim_rounded,1.7204,1.7204,0.0,/mnt/d/omnigent-blackbox-WRITEUP-CLAIM-MAP-FAST-20260912T072702Z/writeup_claim_to_artifact_map_fast.csv,"IM-TO-ARTIFACT-INDEX-20260912T063511Z/claim_to_artifact_index.md twentyone_pair_capability_subset,PARTIAL_CHECK,15,16,1,1.7204,/mnt/d/omnigent-blackbox-CLAIM-TO-ARTIFACT-INDEX-20260912T063511Z/claim_to_artifact_index.csv | /mnt/d/omnigent-blackbo"
m0_cost_claim_rounded,1.7204,1.7204,0.0,/mnt/d/omnigent-blackbox-WRITEUP-CLAIM-MAP-FAST-20260912T072702Z/WRITEUP_CLAIM_TO_ARTIFACT_MAP_FAST.md,60arm_hard_full_contract` | MAP_READY | 3/3 | 0 |  | | `twentyone_pair_capability_subset` | PARTIAL_CHECK | 15/16 | 1 | 1.7204 | | `normalized_route_audit_sweep` | MAP_READY | 5/5 | 0 |  | | `component_ablation_48_72` | MAP_READY | 8/8 | 0 |  | |
