
Package                                                               Exists Files ResultJson Reports Logs
-------                                                               ------ ----- ---------- ------- ----
D:\omnigent-blackbox-positive-delta-SLIM-20260912T053958Z             YES     1816        252     203  215
D:\omnigent-blackbox-OLD-RAW-IMPERATIVE-20260912T062257Z              YES     3407        924      68 1025
D:\omnigent-blackbox-REPORT-IMPERATIVE-supplement-20260912T061643Z    YES      143          0      36    3
D:\omnigent-blackbox-CLAIM-TO-ARTIFACT-INDEX-20260912T063511Z         YES        3          0       3    0
D:\omnigent-blackbox-21PAIR-RAWREADY-and-FINAL-AUDIT-20260912T064909Z YES        4          0       3    0
D:\omnigent-blackbox-FINAL-CLEAN-AUDIT-20260912T065634Z               YES        5          0       3    0
D:\omnigent-blackbox-WRITEUP-CLAIM-MAP-FAST-20260912T072702Z          YES        3          0       3    0
D:\omnigent-blackbox-21PAIR-COST-CLAIM-CHECK-20260912T073204Z         YES        4          0       4    0
D:\omnigent-blackbox-EXPLICIT-REPRODUCIBILITY-20260912T073706Z        YES       11          0       5    0



